6,1649543367485
311,1649543369402
346,1649543369634
461,1649543370351
846,1649543372867
1021,1649543373985
1551,1649543377302
3306,1649543388698
3316,1649543388768
4581,1649543396777
4626,1649543397060
4666,1649543397312
5446,1649543402232
5541,1649543402762
5751,1649543404159
6036,1649543406024
6211,1649543407142
6231,1649543407273
6581,1649543409422
7446,1649543414705
8921,1649543423670
9561,1649543427568
9666,1649543428218
9786,1649543428968
9941,1649543429948
10296,1649543432034
10836,1649543434667
11626,1649543438347
11901,1649543439656
12116,1649543440612
12411,1649543442061
12661,1649543445147
13001,1649543447062
13756,1649543451262
13911,1649543452142
14126,1649543453410
14846,1649543457608
14881,1649543457825
15811,1649543463474
16261,1649543466028
16436,1649543467040
16521,1649543467573
18656,1649543480135
19061,1649543482503
19631,1649543485768
20796,1649543492633
22036,1649543499944
22096,1649543500298
22481,1649543502513
23056,1649543505812
23831,1649543510267
24666,1649543515151
24816,1649543516051
25791,1649543521788
25826,1649543521967
26561,1649543526291
27161,1649543529762
27281,1649543530486
28651,1649543538517
29301,1649543542326
29491,1649543543426
29516,1649543543566
30676,1649543550382
31531,1649543555379
31556,1649543555535
31686,1649543556350
32051,1649543558475
32061,1649543558527
32516,1649543561185
33141,1649543564866
33256,1649543565512
33646,1649543567842
33731,1649543568346
33731,1649543568783
34186,1649543571056
34546,1649543573210
35236,1649543577189
35376,1649543578055
35751,1649543580294
35941,1649543581379
36446,1649543584371
36786,1649543586354
37101,1649543588202
38291,1649543595236
38736,1649543597883
38796,1649543598233
39056,1649543599781
39061,1649543599816
40446,1649543607896
40526,1649543608356
41496,1649543613960
42041,1649543617252
42116,1649543617693
43436,1649543625407
44021,1649543628782
45221,1649543635871
46151,1649543641302
46371,1649543642585
46526,1649543643500
47491,1649543649116
47691,1649543650321
48141,1649543652932
48291,1649543653765
48331,1649543654017
48521,1649543655132
48756,1649543656480
48926,1649543657498
49351,1649543659981
49381,1649543660155
49661,1649543661846
50821,1649543668562
51091,1649543670147
51326,1649543671493
51691,1649543673559
51836,1649543674370
53106,1649543681617
53156,1649543681891
55731,1649543696402
56001,1649543697952
56586,1649543701266
57571,1649543706934
57591,1649543707066
57636,1649543707322
58176,1649543710480
58801,1649543714096
58831,1649543714297
60061,1649543721145
60231,1649543722062
61536,1649543729594
62291,1649543733963
62566,1649543735615
62926,1649543737690
63276,1649543739739
63356,1649543740222
63451,1649543740821
63856,1649543743112
64106,1649543744638
64501,1649543746927
65496,1649543752718
65531,1649543752924
19,1649543753070
2064,1649543765131
2134,1649543765520
2409,1649543767180
2574,1649543768163
2619,1649543768421
2829,1649543769648
3364,1649543772812
3444,1649543773312
3514,1649543773747
4784,1649543781265
5924,1649543788058
6419,1649543791056
6509,1649543791564
6579,1649543791974
7149,1649543795339
7509,1649543797438
8154,1649543801270
8414,1649543802819
8524,1649543803487
10404,1649543814509
10829,1649543817047
11309,1649543819857
11414,1649543820458
11689,1649543822096
12094,1649543824489
12224,1649543825253
12469,1649543826674
12694,1649543828012
13619,1649543833194
13829,1649543834409
13979,1649543835293
14529,1649543838433
14624,1649543838980
15299,1649543843123
15359,1649543843441
15759,1649543845756
15799,1649543846006
17004,1649543853079
17244,1649543854436
17549,1649543856217
18059,1649543859194
19184,1649543865700
20864,1649543875446
20989,1649543876172
21209,1649543877546
21239,1649543877713
21544,1649543879480
21744,1649543880647
22164,1649543883128
22954,1649543887756
23279,1649543889643
23439,1649543890625
23964,1649543893613
24499,1649543896926
25304,1649543901689
25699,1649543903972
27354,1649543913373
27479,1649543914108
28054,1649543917507
28089,1649543917734
28159,1649543918150
29034,1649543923244
29234,1649543924415
29389,1649543925282
29444,1649543925615
29519,1649543926033
29929,1649543928377
30704,1649543932864
30824,1649543933535
31754,1649543939044
32499,1649543943396
32539,1649543943640
32589,1649543943931
32729,1649543944710
33304,1649543948157
33624,1649543950068
34799,1649543957145
35674,1649543961978
35839,1649543962921
37594,1649543973168
38284,1649543977150
38364,1649543977650
39014,1649543981539
39529,1649543984574
39534,1649543984603
40404,1649543989687
40544,1649543990512
40814,1649543992124
41344,1649543995281
41464,1649543995993
41589,1649543996743
